Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,41.750000,45.299999,39.250000,43.540001,35.829540,111322700
2010-01-01,43.810001,46.900002,42.450001,42.880001,35.294437,101751300
2010-02-01,43.270000,47.549999,42.020000,44.910000,36.965332,117974100
2010-03-01,45.040001,47.410000,43.840000,45.139999,37.154629,94528700
2010-04-01,45.580002,48.799999,42.700001,43.500000,35.812500,132308700
2010-05-01,43.509998,44.650002,37.480000,38.169998,31.424435,129702500
2010-06-01,37.889999,39.090000,33.730000,33.820000,27.843187,131812700
2010-07-01,33.730000,40.180000,32.470001,38.919998,32.050976,132644700
2010-08-01,39.540001,40.250000,34.369999,35.080002,28.888693,90364300
2010-09-01,35.580002,39.820000,35.400002,37.660000,31.013340,79242900
2010-10-01,38.130001,41.799999,37.310001,41.759998,34.398792,86432600
2010-11-01,41.950001,45.970001,41.220001,43.200001,35.584953,78436600
2010-12-01,43.970001,47.860001,43.779999,46.340000,38.171463,76530900
2011-01-01,46.930000,50.259998,45.919998,46.720001,38.492733,88836200
2011-02-01,47.040001,48.000000,43.610001,44.720001,36.844929,69038300
2011-03-01,44.650002,45.599998,42.060001,44.939999,37.026188,80294500
2011-04-01,45.299999,47.099998,44.450001,46.549999,38.509880,64788900
2011-05-01,46.779999,47.639999,44.669998,45.770000,37.864601,60601500
2011-06-01,45.520000,45.520000,42.099998,45.090000,37.302048,83056100
2011-07-01,45.139999,46.939999,40.570000,41.470001,34.448189,77794400
2011-08-01,41.990002,42.330002,31.350000,35.520000,29.505661,150166100
2011-09-01,35.419998,35.759998,30.190001,32.160000,26.714588,115890300
2011-10-01,30.469999,42.240002,29.860001,40.389999,33.739552,145478700
2011-11-01,39.090000,41.860001,36.139999,39.650002,33.121399,93518300
